%$Well : Cockburn1 : 04/04/2013 13:01:25
%DEPTH      PERM_F1    PHI        
%M          mD         Dec        
383.4384   1346.3719  0.2588     
383.5908   1343.8669  0.2587     
383.7432   1341.3553  0.2587     
383.8956   1338.7555  0.2586     
384.0480   1333.8705  0.2585     
384.2004   1325.8083  0.2584     
384.3528   1317.4951  0.2582     
384.5052   1311.5787  0.2581     
384.6576   1305.7361  0.2580     
384.8100   1299.4993  0.2579     
384.9624   1291.8918  0.2577     
385.1148   1276.8666  0.2574     
385.2672   1251.8652  0.2569     
385.4196   1221.2208  0.2563     
385.5720   1192.7915  0.2557     
385.7244   1166.9290  0.2551     
385.8768   1136.1018  0.2544     
386.0292   1104.2106  0.2537     
386.1816   1074.8644  0.2530     
386.3340   1052.2697  0.2525     
386.4864   1043.6204  0.2523     
386.6388   1044.7760  0.2523     
386.7912   1045.7142  0.2523     
386.9436   1043.2123  0.2522     
387.0960   1037.8640  0.2521     
387.2484   1032.7246  0.2520     
387.4008   1027.2521  0.2519     
387.5532   1022.3804  0.2517     
387.7056   1014.3660  0.2515     
387.8580   1001.0648  0.2512     
388.0104   985.5613   0.2508     
388.1628   971.6040   0.2505     
388.3152   960.8338   0.2502     
388.4676   952.0939   0.2500     
388.6200   942.0009   0.2497     
388.7724   928.5616   0.2493     
388.9248   913.9803   0.2489     
389.0772   899.1488   0.2485     
389.2296   884.5167   0.2481     
389.3820   869.5213   0.2477     
389.5344   854.3832   0.2473     
389.6868   838.9611   0.2468     
389.8392   823.5767   0.2464     
389.9916   808.2871   0.2459     
390.1440   793.0252   0.2454     
390.2964   778.0781   0.2450     
390.4488   763.7852   0.2445     
390.6012   749.5232   0.2440     
390.7536   735.3276   0.2436     
390.9060   721.1284   0.2431     
391.0584   707.6894   0.2426     
391.2108   695.7397   0.2422     
391.3632   685.3331   0.2419     
391.5156   675.3987   0.2415     
391.6680   664.5882   0.2411     
391.8204   653.0015   0.2407     
391.9728   642.8679   0.2403     
392.1252   634.6769   0.2400     
392.2776   628.5010   0.2398     
392.4300   624.4279   0.2396     
392.5824   619.6221   0.2394     
392.7348   614.3414   0.2392     
392.8872   611.2930   0.2391     
393.0396   608.8428   0.2390     
393.1920   604.7023   0.2389     
393.3444   597.2390   0.2386     
393.4968   587.4399   0.2382     
393.6492   579.2474   0.2378     
393.8016   573.9781   0.2376     
393.9540   568.8759   0.2374     
394.1064   563.4576   0.2372     
394.2588   558.4601   0.2370     
394.4112   553.5059   0.2368     
394.5636   549.2883   0.2366     
394.7160   546.9666   0.2365     
394.8684   544.8606   0.2364     
395.0208   541.4907   0.2362     
395.1732   537.0549   0.2360     
395.3256   529.7458   0.2357     
395.4780   521.7661   0.2354     
395.6304   514.0657   0.2350     
395.7828   506.7351   0.2347     
395.9352   500.1147   0.2344     
396.0876   493.9718   0.2341     
396.2400   488.1795   0.2338     
396.3924   483.1276   0.2336     
396.5448   478.7034   0.2333     
396.6972   474.3430   0.2331     
396.8496   469.6608   0.2329     
397.0020   464.9898   0.2327     
397.1544   459.3019   0.2324     
397.3068   452.5615   0.2320     
397.4592   444.9290   0.2316     
397.6116   434.8676   0.2311     
397.7640   423.7222   0.2305     
397.9164   413.1254   0.2299     
398.0688   406.0576   0.2295     
398.2212   402.3957   0.2293     
398.3736   400.2399   0.2292     
398.5260   399.1121   0.2291     
398.6784   398.6282   0.2291     
398.8308   397.1573   0.2290     
398.9832   394.7986   0.2289     
399.1356   390.6715   0.2286     
399.2880   385.1354   0.2283     
399.4404   378.8027   0.2279     
399.5928   371.8577   0.2275     
399.7452   365.9564   0.2272     
399.8976   361.4280   0.2269     
400.0500   358.0960   0.2267     
400.2024   355.4804   0.2265     
400.3548   354.2674   0.2264     
400.5072   353.7077   0.2264     
400.6596   353.6752   0.2264     
400.8120   354.4523   0.2264     
400.9644   356.0751   0.2265     
401.1168   357.0922   0.2266     
401.2692   356.6581   0.2266     
401.4216   354.6128   0.2264     
401.5740   351.8990   0.2263     
401.7264   349.9864   0.2261     
401.8788   349.3453   0.2261     
402.0312   349.6831   0.2261     
402.1836   350.5731   0.2262     
402.3360   351.4082   0.2262     
402.4884   351.6867   0.2263     
402.6408   351.2433   0.2262     
402.7932   349.4499   0.2261     
402.9456   346.6435   0.2259     
403.0980   344.6468   0.2258     
403.2504   342.8778   0.2257     
403.4028   343.1624   0.2257     
403.5552   343.8475   0.2257     
403.7076   345.1614   0.2258     
403.8600   346.7836   0.2259     
404.0124   347.7302   0.2260     
404.1648   347.9574   0.2260     
404.3172   347.5785   0.2260     
404.4696   346.8666   0.2259     
404.6220   346.9160   0.2259     
404.7744   347.9613   0.2260     
404.9268   348.9416   0.2261     
405.0792   349.0426   0.2261     
405.2316   348.0090   0.2260     
405.3840   346.4842   0.2259     
405.5364   345.7119   0.2259     
405.6888   345.9107   0.2259     
405.8412   346.8408   0.2259     
405.9936   348.2059   0.2260     
406.1460   348.4331   0.2260     
406.2984   347.7841   0.2260     
406.4508   345.8831   0.2259     
406.6032   343.3595   0.2257     
406.7556   340.6355   0.2255     
406.9080   338.3386   0.2254     
407.0604   336.1190   0.2252     
407.2128   334.4703   0.2251     
407.3652   333.1421   0.2250     
407.5176   332.2184   0.2250     
407.6700   331.7119   0.2249     
407.8224   331.4670   0.2249     
407.9748   331.6201   0.2249     
408.1272   333.0916   0.2250     
408.2796   335.4796   0.2252     
408.4320   338.3366   0.2254     
408.5844   341.4077   0.2256     
408.7368   343.7311   0.2257     
408.8892   345.4126   0.2258     
409.0416   346.1405   0.2259     
409.1940   346.3666   0.2259     
409.3464   346.9734   0.2260     
409.4988   347.9682   0.2260     
409.6512   349.0920   0.2261     
409.8036   349.0200   0.2261     
409.9560   348.8697   0.2261     
410.1084   348.5820   0.2261     
410.2608   348.5852   0.2261     
410.4132   348.5101   0.2261     
410.5656   347.6294   0.2260     
410.7180   346.0552   0.2259     
410.8704   343.9500   0.2258     
411.0228   342.3314   0.2256     
411.1752   341.5009   0.2256     
411.3276   340.7205   0.2255     
411.4800   339.6376   0.2255     
411.6324   338.8168   0.2254     
411.7848   339.6933   0.2255     
411.9372   342.3362   0.2256     
412.0896   346.4358   0.2259     
412.2420   350.3857   0.2262     
412.3944   352.7240   0.2263     
412.5468   354.2087   0.2264     
412.6992   355.9014   0.2265     
412.8516   358.3529   0.2267     
413.0040   360.3291   0.2268     
413.1564   362.2869   0.2269     
413.3088   363.9567   0.2270     
413.4612   364.8430   0.2271     
413.6136   365.0472   0.2271     
413.7660   364.6924   0.2271     
413.9184   364.5147   0.2271     
414.0708   364.8645   0.2271     
414.2232   365.5177   0.2271     
414.3756   366.5326   0.2272     
414.5280   368.1619   0.2273     
414.6804   370.1402   0.2274     
414.8328   372.2465   0.2275     
414.9852   373.8610   0.2276     
415.1376   375.2878   0.2277     
415.2900   376.4321   0.2278     
415.4424   376.9033   0.2278     
415.5948   377.1942   0.2278     
415.7472   376.5217   0.2278     
415.8996   376.1400   0.2278     
416.0520   376.1563   0.2278     
416.2044   375.5778   0.2277     
416.3568   374.4277   0.2277     
416.5092   372.8994   0.2276     
416.6616   370.7803   0.2275     
416.8140   368.0765   0.2273     
416.9664   366.4453   0.2272     
417.1188   365.6508   0.2271     
417.2712   363.8051   0.2270     
417.4236   361.7996   0.2269     
417.5760   359.4074   0.2267     
417.7284   357.6160   0.2266     
417.8808   357.3352   0.2266     
418.0332   357.6433   0.2266     
